Building 4800,33.190878, -117.302013
Building T420,33.191303, -117.302204
Building T410,33.191465,-117.302547
Building 4500,33.191770,-117.302965
Building 4600,33.191294,-117.302965
Library,33.190395,-117.302611
Building 3600,33.191510,-117.303554
Building 4000,33.192062,-117.303085
T300,33.191761,-117.303774
3500,33.191221,-117.303816
T310,33.191120,-117.304092
Cafe/BookStore,33.190743,-117.304012
Counseling,33.190340,-117.303576
Admissions,33.190056,-117.304224
Cashier,33.189967,-117.303903
Finance/Scholarship,33.189767,-117.303986
3100,33.189961,-117.303473
Administration,33.189960,-117.302178
2300,33.188567,-117.302550
2200,33.188232,-117.302796
Theatre,33.188068,-117.302255
Concert Hall,33.187961,-117.303140
Gym,33.191137,-117.300889
4400,33.191935,-117.301634
